Sorted_X, Sorted_Y, Unsorted_X, Unsorted_Y
98,-15,42,15
-98,-15,46,15
98,15,50,15
42,-90,54,15
42,90,58,15
-42,90,62,15
-42,-90,66,15
66,75,70,15
66,-75,74,15
-66,75,78,15
-66,-75,82,15
90,-45,86,15
-90,45,90,15
-90,-45,94,15
90,45,98,15
46,-90,102,15
-46,-90,106,15
-46,90,110,15
46,90,114,15
-82,-60,118,15
82,-60,122,15
-82,60,126,15
82,60,130,15
102,0,134,15
-102,0,138,15
98,30,142,15
98,-30,146,15
-98,30,-146,0
-98,-30,-142,0
70,75,-138,0
70,-75,-134,0
-70,75,-130,0
-70,-75,-126,0
50,90,-122,0
-50,90,-118,0
-50,-90,-114,0
50,-90,-110,0
102,15,-106,0
-102,-15,-102,0
102,-15,-98,0
-102,15,-94,0
-94,45,-90,0
-94,-45,-86,0
94,-45,-82,0
94,45,-78,0
-86,-60,-74,0
86,-60,-70,0
-86,60,-66,0
86,60,-62,0
-54,-90,-58,0
54,90,-54,0
-54,90,-50,0
54,-90,-46,0
-2,105,-42,0
2,105,-38,0
-2,-105,-34,0
2,-105,-30,0
-6,105,-26,0
6,105,-22,0
-6,-105,-18,0
6,-105,-14,0
-74,-75,-10,0
-74,75,-6,0
74,-75,-2,0
74,75,2,0
10,105,6,0
-10,105,10,0
-10,-105,14,0
10,-105,18,0
-14,105,22,0
14,105,26,0
-14,-105,30,0
14,-105,34,0
106,0,38,0
-106,0,42,0
102,-30,46,0
-102,30,50,0
-102,-30,54,0
102,30,58,0
-18,105,62,0
18,105,66,0
-18,-105,70,0
18,-105,74,0
106,-15,78,0
-106,-15,82,0
-106,15,86,0
106,15,90,0
58,90,94,0
-58,90,98,0
-58,-90,102,0
58,-90,106,0
-22,-105,110,0
-22,105,114,0
22,105,118,0
22,-105,122,0
-98,-45,126,0
-98,45,130,0
98,45,134,0
98,-45,138,0
-90,60,142,0
90,60,146,0
-90,-60,-146,-15
90,-60,-142,-15
26,105,-138,-15
-26,-105,-134,-15
-26,105,-130,-15
26,-105,-126,-15
-78,-75,-122,-15
78,75,-118,-15
-78,75,-114,-15
78,-75,-110,-15
30,105,-106,-15
-30,-105,-102,-15
-30,105,-98,-15
30,-105,-94,-15
62,90,-90,-15
-62,90,-86,-15
-62,-90,-82,-15
62,-90,-78,-15
110,0,-74,-15
-110,0,-70,-15
106,30,-66,-15
-106,30,-62,-15
-106,-30,-58,-15
106,-30,-54,-15
34,105,-50,-15
-34,-105,-46,-15
-34,105,-42,-15
34,-105,-38,-15
-110,-15,-34,-15
110,-15,-30,-15
-110,15,-26,-15
110,15,-22,-15
82,-75,-18,-15
-82,-75,-14,-15
82,75,-10,-15
-82,75,-6,-15
-102,-45,-2,-15
102,45,2,-15
-102,45,6,-15
102,-45,10,-15
-94,-60,14,-15
94,-60,18,-15
94,60,22,-15
-94,60,26,-15
-66,-90,30,-15
66,-90,34,-15
66,90,38,-15
-66,90,42,-15
38,-105,46,-15
-38,-105,50,-15
-38,105,54,-15
38,105,58,-15
42,-105,62,-15
-42,-105,66,-15
-42,105,70,-15
42,105,74,-15
-114,0,78,-15
114,0,82,-15
-110,-30,86,-15
-70,-90,90,-15
70,90,94,-15
110,30,98,-15
-110,30,102,-15
-70,90,106,-15
70,-90,110,-15
110,-30,114,-15
-86,-75,118,-15
86,75,122,-15
86,-75,126,-15
-86,75,130,-15
-46,-105,134,-15
-46,105,138,-15
46,-105,142,-15
46,105,146,-15
98,-60,-146,-30
98,60,-142,-30
-98,60,-138,-30
-98,-60,-134,-30
114,-15,-130,-30
-114,-15,-126,-30
-114,15,-122,-30
114,15,-118,-30
-106,-45,-114,-30
106,45,-110,-30
-106,45,-106,-30
106,-45,-102,-30
50,105,-98,-30
-50,-105,-94,-30
-50,105,-90,-30
50,-105,-86,-30
-74,-90,-82,-30
-74,90,-78,-30
74,90,-74,-30
74,-90,-70,-30
-90,-75,-66,-30
-90,75,-62,-30
90,-75,-58,-30
90,75,-54,-30
114,30,-50,-30
-114,30,-46,-30
-114,-30,-42,-30
114,-30,-38,-30
118,0,-34,-30
-118,0,-30,-30
54,105,-26,-30
-54,-105,-22,-30
-54,105,-18,-30
54,-105,-14,-30
102,60,-10,-30
-102,60,-6,-30
-102,-60,-2,-30
102,-60,2,-30
110,45,6,-30
-110,45,10,-30
-110,-45,14,-30
110,-45,18,-30
118,-15,22,-30
-118,15,26,-30
-118,-15,30,-30
118,15,34,-30
-78,-90,38,-30
78,-90,42,-30
-78,90,46,-30
78,90,50,-30
-58,105,54,-30
58,-105,58,-30
58,105,62,-30
-58,-105,66,-30
2,120,70,-30
-2,120,74,-30
-2,-120,78,-30
2,-120,82,-30
6,120,86,-30
-6,120,90,-30
-6,-120,94,-30
6,-120,98,-30
94,-75,102,-30
